"OD15IGUAL15",1471.640671411042,-284847.61890315346,43.60273866497863,92.16217
"OD15IGUAL14",1471.6455685600577,-284847.6210187427,43.60163888110568,92.16310
"OD14",1471.6380321013562,-284847.6067415531,44.00119738846215,10"
"11016",1521.8895654491337,-284901.3346545449,46.26846980768389,10"
"11015",1485.9632781879075,-284884.82308601076,45.937201177089094,"SINALVERTICAL"
"11014",1486.4680765875178,-284884.7832901194,45.95370123774275,"SINALVERTICAL"
"11013",1498.9311677305107,-284875.45129687386,45.70428239656449,"CANDSC"
"11012",1507.0083002020092,-284862.31023632584,45.38081780273505,"ARV"
"11011",1506.9447517338976,-284861.96986607136,45.37067937964451,"ARV"
"11010",1507.3041099321983,-284861.8480758576,45.39139336591919,"ARV"
"11009",1486.789448281848,-284862.09756329574,45.35135223958203,"CAVILHA"
"11008",1486.7769846783967,-284860.6962494742,45.45063753127618,"CANDSC"
"11007",1488.0018211247932,-284857.53151280247,45.440886460344345,"CANDSC"
"11006",1481.2946016097262,-284852.90595292026,44.80331478849161,"CIP1D"
"11005",1470.6489668612448,-284859.28677146597,44.887438031875746,"CANDSC"
"11004",1470.6896552422943,-284859.2194042899,44.90823838111658,"CANDSC"
"11003",1472.0919840763884,-284864.81902260217,45.14161949511978,"CANDSC"
"11002",1471.4099593571216,-284863.7407290823,45.052866945155365,"ARV"
"11001",1471.560886081441,-284863.893379549,45.112687307525725,"ARV"
"11000",1471.5488866116968,-284863.95912546414,45.11954323928722,"ARV"
"OD13",1476.437130786934,-284882.35399117175,45.54090449432797,I"
"OD13",1476.435040962112,-284882.3546206829,45.540971395829345,I"
"10140",1475.6063125183962,-284883.3075960328,45.614108094651876,I"
"10139",1479.220052230727,-284884.7490593275,45.96070424602316,I"
"10138",1482.5030251195085,-284885.14762678684,46.03879937895569,I"
"10137",1483.4805524788032,-284878.7868602203,45.8428786079235,"CANDSC"
"10136",1483.4776223522347,-284878.7868142474,45.84374934296684,"CANDSC"
"10135",1480.3865364201836,-284875.3892224338,45.80944247005361,"ARV"
"10134",1480.557357846417,-284875.4101726196,45.84466310292634,"ARV"
"10133",1480.5412826447057,-284875.5860118499,45.87482892889851,"ARV"
"10132",1477.1038698211805,-284872.0596096765,45.62626478870007,"ARV"
"10131",1477.2797465973829,-284872.03890395304,45.667845482850595,"ARV"
"10130",1477.3236496918369,-284872.226838027,45.622684086030304,"ARV"
"10129",1473.9130973525926,-284868.40854603046,45.469570699401835,"ARV"
"10128",1474.015926082401,-284868.44352231233,45.479679494043864,"ARV"
"10127",1474.0466894264068,-284868.54352577915,45.464079929190845,"ARV"
"10126",1472.0772841372154,-284864.8085759553,45.145151848843206,"CANDSC"
"10125",1472.0790766876182,-284864.8105150778,45.1470164808658,"CANDSC"
"10124",1470.6977024234093,-284861.0700037298,44.808179073557405,I"
"10123",1470.0550789942733,-284851.99825702724,44.2729099313982,I"
"10122",1470.2199062443049,-284849.69789797545,44.16289268597889,I"
"10121",1470.6670842768233,-284846.80611354404,43.89258288369427,I"
"10120",1471.2817554578737,-284846.9920140443,43.96623333851204,CC"
"10119",1471.1379135480586,-284847.63360400125,43.99481510521914,CC"
"10118",1470.5843166826987,-284850.7137135397,44.152295842494695,CC"
"10117",1470.5574765890349,-284852.6222021322,44.29148124879574,CC"
"10116",1474.7003457487112,-284849.325013466,44.10108183047085,"COTA"
"10115",1475.4930509725016,-284854.3549248159,44.486757271930216,"COTA"
"10114",1477.8968548112148,-284861.26703863824,45.04992153004852,"COTA"
"10113",1471.3292732055038,-284860.0259950688,44.80936709415698,CC"
"10112",1471.6488285528667,-284861.7062973574,44.92170837120194,CC"
"10111",1472.7165170011851,-284864.9421113873,45.16215601733333,CC"
"10110",1473.9036166840444,-284866.97714730166,45.31944149417571,CC"
"10109",1477.406388129524,-284870.98495306197,45.508965251837914,CC"
"10108",1480.1893299753126,-284874.13144660444,45.63699255635069,CC"
"10107",1503.1561657668046,-284875.90854195657,45.72915165522182,"COTA"
"10106",1514.308529412286,-284883.90335535776,45.835407315208066,"COTA"
"10105",1518.642933614159,-284895.66623942944,46.138804302625296,"PIN"
"10104",1518.6360916313083,-284895.33351946366,46.170047998345254,"PIN"
"10103",1518.962677017949,-284895.26903595444,46.1435426990238,"PIN"
"10102",1508.6806080704791,-284887.7852327057,46.11712678255188,"PIN"
"10101",1508.707730039003,-284887.3908234208,46.08329513554268,"PIN"
"10100",1508.3548790592363,-284887.3882959389,46.067754712888416,"PIN"
"10099",1506.3332618254494,-284879.87175493664,45.750424508487605,"COTA"
"10098",1504.6580188370679,-284872.9245755039,45.82759936190774,"PIN"
